id,分類,画面名,概要,構成要素,操作手順,利用者,権限,ファイル名,入力,出力,共通コンポーネントファイル
SCR-001,認証,ランディング画面,アプリの紹介やログイン/登録への誘導を行う画面,"ロゴ, アプリ紹介文, ログインボタン, ユーザー登録ボタン",アプリ起動時に表示。ログインまたはユーザー登録を選択。,すべてのユーザー,ゲスト,index.tsx,null,null,"ヘッダー, フッター"
SCR-002,認証,ログイン画面,Eメールとパスワードを入力してログインする画面,"Eメール入力フォーム, パスワード入力フォーム, ログインボタン, パスワードリセットリンク",Eメールとパスワードを入力し、ログインボタンを押下。パスワードを忘れた場合は、パスワードリセットリンクをクリック。,登録済みのユーザー,ゲスト,login.tsx,null,"[{""table"":""users"", ""items"":[""email"", ""password""]}]","ヘッダー, フッター"
SCR-003,認証,ユーザー登録画面,ユーザー情報を入力して新規登録する画面,"ユーザー名入力フォーム, Eメール入力フォーム, パスワード入力フォーム, パスワード確認入力フォーム, 登録ボタン",ユーザー名、Eメール、パスワードを入力し、登録ボタンを押下。,新規ユーザー,ゲスト,register.tsx,null,"[{""table"":""users"", ""items"":[""username"", ""email"", ""password""]}]","ヘッダー, フッター"
SCR-004,Todo,ダッシュボード,Todo管理を行うメイン画面,"カンバン (Todo, In Progress, Done), Todo追加フォーム",Todoの追加、ステータスの変更（ドラッグ＆ドロップ）。,ログイン済みのユーザー,ログインユーザー,dashboard.tsx,"[{""table"":""todos"", ""items"":[""id"", ""user_id"", ""title"", ""status"", ""checkboxes""]}, {""table"":""kanban_config"", ""items"":[""config""]}]","[{""table"":""todos"", ""items"":[""user_id"", ""title"", ""status"", ""checkboxes""]}]","ヘッダー, フッター"
SCR-005,認証,パスワードリセット画面,パスワードリセットを申請する画面,"Eメール入力フォーム, リセット申請ボタン",登録済みのEメールアドレスを入力し、リセット申請ボタンを押下。,登録済みのユーザー,ゲスト,password-reset.tsx,null,"[{""table"":""users"", ""items"":[""email""]}]","ヘッダー, フッター"
SCR-006,認証,ログアウト,ログアウト処理を実行する画面（実際には画面遷移のみでUIはない場合もある）,ログアウト確認メッセージ,ログアウトボタン押下で実行,ログイン済みのユーザー,ログインユーザー,logout.tsx,null,null,null
SCR-007,設定,ユーザー設定画面,ユーザー名やパスワードなどの設定を変更する画面,"ユーザー名入力フォーム, アバター画像アップロード, パスワード変更フォーム",各フォームに新しい情報を入力し、保存ボタンを押下。,ログイン済みのユーザー,ログインユーザー,settings.tsx,"[{""table"":""users"", ""items"":[""username"", ""avatar_url""]}]","[{""table"":""users"", ""items"":[""username"", ""avatar_url"", ""password""]}]","ヘッダー, フッター"
SCR-008,Todo管理,カンバン表示画面,Todoをカンバン形式で表示し、操作する画面,"カンバン（To Do, In Progress, Done）、Todoカード、Todo追加ボタン、カンバン名編集ボタン、アーカイブ一覧ボタン、検索ボタン",Todoカードをドラッグ＆ドロップしてステータスを変更する。Todo追加ボタンをクリックしてTodo作成画面へ遷移する。カンバン名編集ボタンをクリックしてカンバン名編集画面へ遷移する。アーカイブ一覧ボタンをクリックしてアーカイブ一覧画面へ遷移する。検索ボタンをクリックして検索結果画面へ遷移する。,ログインユーザー,ログインユーザー,kanban.tsx,"[{table:'todos',items:['id','user_id','title','status','checkboxes']}, {table:'kanban_config',items:['config']}]",なし,TopBar.tsx
SCR-009,Todo管理,Todo作成画面,新しいTodoを作成する画面,タイトル入力フォーム、チェックボックス入力フォーム、保存ボタン、キャンセルボタン,タイトルとチェックボックスの内容を入力し、保存ボタンをクリックしてTodoを保存し、カンバン表示画面へ遷移する。キャンセルボタンをクリックしてカンバン表示画面へ遷移する。,ログインユーザー,ログインユーザー,todo/create.tsx,なし,"[{table:'todos',items:['user_id','title','status','checkboxes']}]",なし
SCR-010,Todo管理,Todo編集画面,既存のTodoを編集する画面,タイトル入力フォーム、チェックボックス入力フォーム、保存ボタン、削除ボタン、キャンセルボタン,タイトルとチェックボックスの内容を編集し、保存ボタンをクリックしてTodoを更新し、カンバン表示画面へ遷移する。削除ボタンをクリックしてTodoを削除し、カンバン表示画面へ遷移する。キャンセルボタンをクリックしてカンバン表示画面へ遷移する。,ログインユーザー,ログインユーザー,todo/[id]/edit.tsx,"[{table:'todos',items:['id','user_id','title','status','checkboxes']}]","[{table:'todos',items:['id','title','status','checkboxes']}]",なし
