id,分類,要件名,概要,利用者
req-001,認証,ユーザー登録,ユーザーはメールアドレス、パスワードを使用してアカウントを登録できる。,一般ユーザー
req-002,認証,ログイン,登録済みのユーザーは、メールアドレスとパスワードを使用してログインできる。,一般ユーザー
req-003,認証,ログアウト,ログイン中のユーザーは、ログアウトできる。,一般ユーザー
req-004,Todo管理,Todo作成,ユーザーは新しいTodoアイテムを作成できる。,一般ユーザー
req-005,Todo管理,Todo編集,ユーザーは既存のTodoアイテムの内容を編集できる。,一般ユーザー
req-006,Todo管理,Todo削除,ユーザーは不要なTodoアイテムを削除できる。,一般ユーザー
req-007,Todo管理,Todoステータス変更,ユーザーはTodoアイテムのステータスを「To Do」、「In Progress」、「Done」間で変更できる。,一般ユーザー
req-008,Todo管理,カンバン表示,Todoアイテムはカンバン形式で表示され、ステータスごとに整理される。,一般ユーザー
req-009,Todo管理,ドラッグ＆ドロップ,ユーザーはドラッグ＆ドロップ操作でTodoアイテムのステータスを変更できる。,一般ユーザー
req-010,Todo管理,チェックボックス,各Todoアイテムには3つのチェックボックスがあり、進捗を視覚的に管理できる。,一般ユーザー
req-011,ユーザー設定,プロフィール編集,ユーザーは自身のプロフィール情報（ユーザー名、アバター画像、パスワード）を編集できる。,一般ユーザー
req-012,ユーザー設定,パスワード変更,ユーザーはパスワードを変更できる。,一般ユーザー
req-013,AI支援,タスク分解提案,AIがTodoアイテムの目標を分析し、実行可能なタスクへの分解を提案する。,一般ユーザー
req-014,AI支援,GPTs連携,ユーザーはGPTs連携機能を利用し、タスク分解の支援を受けることができる。,一般ユーザー
req-015,エラー処理,ユーザー名重複エラー,ユーザー登録時に、既存のユーザー名と重複した場合、エラーメッセージを表示する。,システム
req-016,エラー処理,DB書き込みエラー,データベースへの書き込みに失敗した場合、エラーメッセージを表示する。,システム
req-017,セキュリティ,パスワードの暗号化,ユーザーのパスワードは安全な方法で暗号化して保存する。,システム
req-018,セキュリティ,セッション管理,ログイン状態を維持するためにセッション管理を行う。,システム
req-019,UI,レスポンシブデザイン,アプリケーションは様々なデバイス（PC、スマートフォン、タブレット）で適切に表示される。,システム
req-020,UI,直感的な操作性,ユーザーが直感的に操作できるインターフェースを提供する。,システム
req-021,Todo管理,カンバン名変更,"ユーザーはカンバンの名称（Todo, In Progress, Done など）を自分で変更できる。",一般ユーザー
req-022,AI支援,習慣化支援GPTs連携,習慣化支援GPTs（知る、分かる、出来る、マスターする）と連携し、タスクの習慣化を支援する。,一般ユーザー
req-023,AI支援,目標細分化フレームワーク,AIが目標細分化のためにフレームワーク（例：SMART）を提案する。,一般ユーザー
req-024,AI支援,自作GPTs利用,ユーザーが自作のGPTsを連携して利用できる機能を提供する。,一般ユーザー
req-025,その他,APIドキュメント,APIの利用方法に関するドキュメントを提供する。,システム管理者
req-026,その他,ログ出力,システムの状態やエラーに関するログを出力する。,システム管理者
req-027,その他,監視機能,システムの稼働状況を監視する機能を提供する。,システム管理者
req-028,セキュリティ,入力値の検証,ユーザーからの入力値を検証し、不正なデータの登録を防ぐ。,システム
req-029,UI,エラーメッセージの表示,エラー発生時に、分かりやすいエラーメッセージを表示する。,システム
req-030,UI,ローディング表示,処理に時間がかかる場合、ローディング表示を行う。,システム
req-031,ユーザー設定,アバター画像アップロード,ユーザーはアバター画像をアップロードして設定できる。,一般ユーザー
