id,分類,機能名,概要,入力,出力,利用者
fun-001,認証,ユーザー登録,メールアドレスとパスワードを用いて新規ユーザーを登録する。,メールアドレス、パスワード,ユーザーアカウント,一般ユーザー
fun-002,認証,ログイン,登録済みのユーザーがメールアドレスとパスワードでログインする。,メールアドレス、パスワード,認証トークン、セッション,一般ユーザー
fun-003,認証,ログアウト,ログイン中のユーザーのセッションを終了する。,セッション情報,ログアウト,一般ユーザー
fun-004,Todo管理,Todoアイテム作成,新しいTodoアイテムを作成する。,Todoタイトル、詳細,TodoアイテムID,一般ユーザー
fun-005,Todo管理,Todoアイテム編集,既存のTodoアイテムの内容を編集する。,TodoアイテムID、編集内容,更新されたTodoアイテム,一般ユーザー
fun-006,Todo管理,Todoアイテム削除,不要なTodoアイテムを削除する。,TodoアイテムID,削除成功,一般ユーザー
fun-007,Todo管理,Todoアイテムステータス変更,Todoアイテムのステータスを「To Do」、「In Progress」、「Done」間で変更する。,TodoアイテムID、ステータス,更新されたTodoアイテム,一般ユーザー
fun-008,Todo管理,カンバン表示,Todoアイテムをカンバン形式で表示する。,ユーザーID,カンバンボード,一般ユーザー
fun-009,Todo管理,ドラッグ＆ドロップ操作,ドラッグ＆ドロップ操作でTodoアイテムのステータスを変更する。,TodoアイテムID、新しいステータス,更新されたTodoアイテム,一般ユーザー
fun-010,Todo管理,チェックボックス表示,各Todoアイテムに3つのチェックボックスを表示する。,TodoアイテムID,チェックボックス付きのTodoアイテム,一般ユーザー
fun-011,Todo管理,チェックボックス状態更新,Todoアイテムのチェックボックスの状態を更新する。,TodoアイテムID、チェックボックスID、チェック状態,更新されたTodoアイテム,一般ユーザー
fun-012,ユーザー設定,プロフィール編集,ユーザーのプロフィール情報を編集する。,ユーザーID、編集内容,更新されたユーザー情報,一般ユーザー
fun-013,ユーザー設定,パスワード変更,ユーザーのパスワードを変更する。,ユーザーID、現在のパスワード、新しいパスワード,パスワード変更成功,一般ユーザー
fun-014,AI支援,タスク分解提案,AIがTodoアイテムの目標を分析し、実行可能なタスクへの分解を提案する。,Todoアイテムの説明,タスク分解提案,一般ユーザー
fun-015,AI支援,GPTs連携,GPTs連携機能を利用し、タスク分解の支援を受ける。,GPTsモデル,タスク分解提案,一般ユーザー
fun-016,エラー処理,ユーザー名重複エラー表示,ユーザー登録時に、既存のユーザー名と重複した場合、エラーメッセージを表示する。,登録リクエスト,エラーメッセージ,システム
fun-017,エラー処理,DB書き込みエラー表示,データベースへの書き込みに失敗した場合、エラーメッセージを表示する。,DB書き込みリクエスト,エラーメッセージ,システム
fun-018,セキュリティ,パスワード暗号化,ユーザーのパスワードを安全な方法で暗号化して保存する。,パスワード,暗号化されたパスワード,システム
fun-019,セキュリティ,セッション管理,ログイン状態を維持するためにセッション管理を行う。,認証情報,セッションID,システム
fun-020,UI,レスポンシブデザイン,アプリケーションは様々なデバイスで適切に表示する。,デバイス情報,適切なUI表示,システム
fun-021,UI,直感的な操作,ユーザーが直感的に操作できるインターフェースを提供する。,UI操作,操作結果,システム
fun-022,Todo管理,カンバン名変更,"カンバンの名称（Todo, In Progress, Done など）を自分で変更できる。",カンバン名、新しい名称,変更後のカンバン名,一般ユーザー
fun-023,AI支援,習慣化支援GPTs連携,習慣化支援GPTs（知る、分かる、出来る、マスターする）と連携し、タスクの習慣化を支援する。,タスク,習慣化支援,一般ユーザー
fun-024,AI支援,目標細分化フレームワーク,AIが目標細分化のためにフレームワーク（例：SMART）を提案する。,目標,提案されたフレームワーク,一般ユーザー
fun-025,AI支援,自作GPTs利用,ユーザーが自作のGPTsを連携して利用できる機能を提供する。,GPTsのAPI,API連携結果,一般ユーザー
fun-026,その他,APIドキュメント表示,APIの利用方法に関するドキュメントを提供する。,なし,APIドキュメント,システム管理者
fun-027,その他,ログ出力,システムの状態やエラーに関するログを出力する。,ログメッセージ,ログ,システム管理者
fun-028,その他,監視機能,システムの稼働状況を監視する機能を提供する。,システムリソース,システム状態,システム管理者
fun-029,セキュリティ,入力値の検証,ユーザーからの入力値を検証し、不正なデータの登録を防ぐ。,入力値,検証結果,システム
fun-030,UI,エラーメッセージ表示,エラー発生時に、分かりやすいエラーメッセージを表示する。,エラー情報,エラーメッセージ,システム
fun-031,UI,ローディング表示,処理に時間がかかる場合、ローディング表示を行う。,処理開始,ローディングアニメーション,システム
fun-032,ユーザー設定,アバター画像アップロード,ユーザーはアバター画像をアップロードして設定できる。,画像ファイル,アバター画像,一般ユーザー
fun-033,認証,パスワードリセット,パスワードを忘れたユーザーがリセットできる。,メールアドレス,リセットメール,一般ユーザー
fun-034,Todo管理,Todoアイテム検索,Todoアイテムをキーワードで検索する。,キーワード,検索結果,一般ユーザー
fun-035,Todo管理,Todoアイテムソート,Todoアイテムを期日順、優先度順などでソートする。,ソート条件,ソートされたTodoリスト,一般ユーザー
fun-036,Todo管理,Todoアイテムフィルター,Todoアイテムをステータス、期日などでフィルターする。,フィルター条件,フィルターされたTodoリスト,一般ユーザー
fun-037,ユーザー設定,テーマ変更,アプリケーションのテーマを変更する。,テーマ,変更されたテーマ,一般ユーザー
fun-038,Todo管理,カンバン追加,カンバンを自由に追加できる。,カンバン名,カンバンID,一般ユーザー
fun-039,Todo管理,カンバン削除,カンバンを削除できる。,カンバンID,削除完了,一般ユーザー
fun-040,Todo管理,Todoアイテムアーカイブ,完了したTodoアイテムをアーカイブする。,TodoアイテムID,アーカイブされたTodoアイテム,一般ユーザー
fun-041,Todo管理,Todoアイテム共有,Todoアイテムを他のユーザーと共有する。,"TodoアイテムID, 共有相手",共有リンク,一般ユーザー
fun-042,AI支援,Todoアイテム優先度設定,AIがTodoアイテムの優先度を設定する支援を行う。,Todoアイテムの説明,優先度,一般ユーザー
fun-043,AI支援,Todoアイテム期日提案,AIがTodoアイテムの期日を提案する支援を行う。,Todoアイテムの説明,期日,一般ユーザー
fun-044,セキュリティ,二段階認証,二段階認証を実装する。,認証情報,認証コード,一般ユーザー
fun-045,UI,プッシュ通知,Todoの更新などの情報をプッシュ通知する。,イベント,プッシュ通知,システム
fun-046,UI,多言語対応,多言語に対応する。,言語設定,多言語表示,一般ユーザー
fun-047,UI,キーボードショートカット,キーボードショートカットで操作できるようにする,キー入力,対応する操作,一般ユーザー
fun-048,その他,バックアップ,データのバックアップを行う,なし,バックアップファイル,システム管理者
fun-049,その他,リストア,バックアップファイルからデータをリストアする,バックアップファイル,リストアされたデータ,システム管理者
fun-050,その他,アクセス制限,特定のIPアドレスからのアクセスを制限する,IPアドレス,アクセス許可,システム管理者
