id,分類,非機能名,概要
non-001,パフォーマンス,応答時間,ユーザー操作に対する応答時間は、3秒以内であること。
non-002,パフォーマンス,同時アクセス数,100人以上の同時アクセスに耐えられること。
non-003,セキュリティ,データ暗号化,機密データ（パスワードなど）は暗号化して保存すること。
non-004,セキュリティ,脆弱性対策,定期的に脆弱性診断を実施し、セキュリティ対策を行うこと。
non-005,ユーザビリティ,アクセシビリティ,Web Content Accessibility Guidelines (WCAG) 2.1 Level AAに準拠すること。
non-006,ユーザビリティ,操作性,直感的に操作できるユーザーインターフェースを提供すること。
non-007,保守性,コード品質,保守しやすいように、適切なコーディング規約に従うこと。
non-008,保守性,ドキュメント,APIドキュメントや設計ドキュメントを整備すること。
non-009,スケーラビリティ,水平スケーリング,アクセス数の増加に対応できるように、水平スケーリングに対応できること。
non-010,信頼性,可用性,システムの可用性を99.9%以上に維持すること。
non-011,信頼性,バックアップ,定期的にデータのバックアップを行い、障害時に復旧できるようにすること。
non-012,国際化,多言語対応,異なる言語に対応できるように、国際化対応を行うこと。
non-013,移植性,クロスプラットフォーム,異なるOSやブラウザで動作すること。
non-014,UI,レスポンシブデザイン,PC、スマートフォン、タブレットなど、異なるデバイスで適切に表示されること。
non-015,セキュリティ,入力値の検証,ユーザーからの入力値を検証し、不正なデータの登録を防ぐこと。
